gvkey	date	permco
1690	201202	7
1690	201203	7
1690	201204	7
1690	201205	7
1690	201206	7
1690	201207	7
1690	201208	7
1690	201209	7
1690	201210	7
1690	201211	7
1690	201212	7
1690	201301	7
1690	201302	7
1690	201303	7
1690	201304	7
1690	201305	7
1690	201306	7
1690	201307	7
1690	201308	7
1690	201309	7
1690	201310	7
1690	201311	7
1690	201312	7
1690	201401	7
1690	201402	7
1690	201403	7
1690	201404	7
1690	201405	7
1690	201406	7
1690	201407	7
1690	201408	7
1690	201409	7
1690	201410	7
1690	201411	7
1690	201412	7
1690	201501	7
1690	201502	7
1690	201503	7
1690	201504	7
1690	201505	7
1690	201506	7
1690	201507	7
1690	201508	7
1690	201509	7
1690	201510	7
1690	201511	7
1690	201512	7
1690	201601	7
1690	201602	7
1690	201603	7
1690	201604	7
1690	201605	7
1690	201606	7
1690	201607	7
1690	201608	7
1690	201609	7
1690	201610	7
1690	201611	7
1690	201612	7
1690	201701	7
1690	201702	7
1690	201703	7
1690	201704	7
1690	201705	7
1690	201706	7
1690	201707	7
1690	201708	7
1690	201709	7
1690	201710	7
1690	201711	7
1690	201712	7
1690	201801	7
1690	201802	7
1690	201803	7
1690	201804	7
1690	201805	7
1690	201806	7
1690	201807	7
1690	201808	7
1690	201809	7
1690	201810	7
1690	201811	7
1690	201812	7
1690	201901	7
1487	200001	137
1487	200002	137
1487	200003	137
1487	200004	137
1487	200005	137
1487	200006	137
1487	200007	137
1487	200008	137
1487	200009	137
1487	200010	137
1487	200011	137
1487	200012	137
1487	200101	137
1487	200102	137
1487	200103	137
1487	200104	137
1487	200105	137
1487	200106	137
1487	200107	137
1487	200108	137
1487	200109	137
1487	200110	137
1487	200111	137
1487	200112	137
1487	200201	137
1487	200202	137
1487	200203	137
1487	200204	137
1487	200205	137
1487	200206	137
1487	200207	137
1487	200208	137
1487	200209	137
1487	200210	137
1487	200211	137
1487	200212	137
1487	200301	137
1487	200302	137
1487	200303	137
1487	200304	137
1487	200305	137
1487	200306	137
1487	200307	137
1487	200308	137
1487	200309	137
1487	200310	137
1487	200311	137
1487	200312	137
1487	200401	137
1487	200402	137
1487	200403	137
1487	200404	137
1487	200405	137
1487	200406	137
1487	200407	137
1487	200408	137
1487	200409	137
1487	200410	137
1487	200411	137
1487	200412	137
1487	200501	137
1487	200502	137
1487	200503	137
1487	200504	137
1487	200505	137
1487	200506	137
1487	200507	137
1487	200508	137
1487	200509	137
1487	200510	137
1487	200511	137
1487	200512	137
1487	200601	137
1487	200602	137
1487	200603	137
1487	200604	137
1487	200605	137
1487	200606	137
1487	200607	137
1487	200608	137
1487	200609	137
