,Austria,Austrlia,Belgium,Canada,Denmark,Finland,France,Germany,HongKong,Ireland,Italy,Japan,Nethrlnd,NewZland,Norway,Singapor,Spain,Sweden,Swtzrlnd,UK
1991-05,-2.98,-4.09,-3.07,3.68,1.38,-4.57,0.51,2.96,4.06,0.26,4.21,-1.34,-1.1,3.01,6.72,0.56,1.88,5.16,1.49,-1.32
1991-06,-9.73,1.0,-4.5,-2.0,0.04,-12.02,-8.19,-8.32,-0.7,-7.05,-7.92,-7.32,-5.4,-5.38,-8.5,-3.43,-7.86,-1.7,-8.47,-7.19
1991-07,-0.53,6.45,2.76,1.44,7.05,7.85,3.63,3.48,9.86,9.96,1.55,3.06,6.09,0.95,6.83,0.9,2.25,3.62,5.83,11.82
1991-08,-0.79,-1.25,-0.62,0.59,-0.41,-4.94,6.0,1.21,-0.03,0.31,-3.5,-5.54,-0.48,-6.33,2.65,-3.82,2.74,-1.02,0.04,2.46
1991-09,1.6,3.51,0.98,-2.52,3.77,-8.37,6.0,2.16,-0.66,5.61,1.32,8.31,2.39,0.19,-2.33,-1.88,5.26,-1.56,0.95,4.07
1991-10,-16.18,6.51,2.22,4.62,-0.37,-1.05,-0.88,-1.96,1.98,-1.74,-4.91,4.74,1.0,7.54,-5.7,3.07,-2.18,-2.97,-0.8,-2.25
1991-11,8.98,-4.9,0.81,-2.84,-1.41,-5.82,-1.66,1.84,3.41,-3.33,4.17,-7.06,1.15,-0.45,-15.36,2.71,-3.88,-3.61,-0.54,-3.84
1991-12,-1.43,0.11,10.09,0.09,5.62,-1.76,8.47,7.05,3.62,9.66,4.82,3.09,7.37,-4.6,12.43,6.09,7.85,4.76,7.74,8.62
1992-01,3.01,-3.25,0.95,1.05,-1.63,9.3,0.58,0.55,7.28,-0.23,2.28,-5.71,-0.54,-2.79,1.68,3.13,-0.14,0.34,0.24,-0.87
1992-02,5.85,0.15,0.19,-0.9,-5.9,-0.77,4.26,2.55,7.51,-3.66,-1.75,-7.6,0.65,3.8,-10.02,-1.25,3.55,-3.19,0.38,-1.48
1992-03,-4.81,0.67,-2.18,-5.13,-6.23,-8.97,-0.29,-1.58,0.85,-3.03,-6.54,-11.03,-0.92,-5.4,7.21,-3.76,-3.89,5.76,-1.46,-5.33
1992-04,-3.85,3.65,1.63,-1.13,0.25,0.2,4.52,-0.18,8.69,4.68,0.37,-6.88,4.76,1.55,5.64,2.15,-2.1,-1.12,1.79,12.49
1992-05,2.92,1.55,4.08,0.18,11.37,4.63,3.92,5.72,14.02,-1.44,1.97,8.25,4.28,7.37,5.67,3.26,9.64,3.74,6.41,5.5
1992-06,1.8,-3.21,1.55,0.05,-4.4,-5.06,-1.46,1.85,0.92,1.27,-3.95,-9.0,1.16,-1.67,-7.19,-1.06,-4.94,-3.56,3.42,-2.97
1992-07,-9.59,-2.11,1.91,2.93,-0.61,-7.28,-4.24,-4.71,-3.99,0.14,-8.64,-1.08,0.14,1.67,-2.89,-0.39,-6.7,-3.87,1.3,-4.44
1992-08,-3.3,-8.0,-3.15,-1.98,-7.15,-12.87,0.83,0.08,-4.17,-0.4,1.07,17.93,2.65,-6.1,-12.25,-3.77,-1.75,-6.56,2.37,-0.62
1992-09,5.63,-4.26,3.56,-6.55,-5.45,-6.45,1.74,-4.23,-1.4,-6.35,-17.51,-3.17,1.59,-3.44,-2.52,1.46,-12.31,-10.24,6.38,-1.39
1992-10,-6.72,-6.41,-6.78,2.02,-9.39,17.08,-8.73,-6.71,12.05,-9.38,13.84,-4.97,-10.0,-7.14,-4.88,2.47,-5.6,-8.04,-8.87,-8.36
1992-11,-6.83,-0.31,-2.22,-5.07,0.41,7.14,-1.22,-0.53,-5.92,2.1,-5.95,2.86,-1.23,13.49,2.3,3.67,5.33,12.9,-3.73,2.34
1992-12,0.93,8.57,-1.19,2.79,-1.33,-5.04,2.37,-1.99,-4.82,1.02,-2.16,-1.21,0.59,0.59,-3.54,-0.21,0.34,-1.74,6.08,3.66
1993-01,0.27,-2.47,5.6,-1.64,12.97,-2.56,-0.56,2.91,3.96,3.55,9.12,-0.08,2.36,-2.16,3.65,1.64,8.22,-6.61,0.06,-2.37
1993-02,4.64,9.96,0.16,5.73,-4.24,-0.56,8.24,4.25,10.85,-5.66,0.83,3.97,2.54,6.43,-1.05,2.01,-1.7,4.66,-1.59,-0.9
